Fly
cact
Jra
PPP1R15
GstS1
Tis11
Abi
Sik2
Tob
cnc
sr
aqz
CG42741
Men
Sdc
Mkp3
SLIRP1
SdicC
CG8641
bun
CG42741
CAP
Hs3st-A
CG9410
CG5846
CG18748
CG3491
ref(2)P
LamC
Timp
MtnA
Wbp2
Pde9
dap
Lamp1
MtnA
CG5863
Dif
E(spl)m3-HLH
NfI
para
Diap2
Diap2
hry
CG1812
wge
dpr12
frac
Coq8
CG31937
scramb1
CG6867
shg
Socs16D
Dif
slbo
alpha-Cat
pim
metro
Chd64
MESK2
kay
igl
Pde1c
Rgk2
Gclc
Fas3
wb
Trim9
Gpxl
cib
RNaseX25
Pask
CG13950
Axud1
Ssdp
Pvf1
Atf3
Axn
Gadd45
Plc21C
Pngl
Cow
CG17450
trbd
noc
Cpr
RNaseX25
CG11211
CG31717
CG17233
His1:CG33834
Imp
CG1368
Mfap1
Alk
slbo
Gprk2
Timp
blow
sra
Hip1
GCC88
Pdp1
CG11426
Cip4
f
rno
Wbp2
Wnt2
CG8519
CG31075
CG32751
ERR
Mlp60A
CG7786
mura
CG30379
CG8519
CrebB
egr
Meltrin
Stat92E
CG34133
His1:CG33807
fabp
CG4210
tn
vvl
Hr38
su(sable)
E(spl)m3-HLH
CG43980
CG16721
CG6398
CG15522
rgn
parvin
LanB1
SK
per
vlc
Sema1b
CG5550
kar
Rpp21
CG9215
Cerk
CG11374
CG9297
CG7997
RapGAP1
Sclp
fry
oxt
Swip-1
Eaat1
Abd-B
GstS1
Paris
Cubn
Gadd45
jef
Rel
Slik
TTLL1A
Shal
luna
Spn42Dc
Scr
RhoBTB
CG33552
cact
loh
PolG2
Atf3
Gycalpha99B
CG14855
NfI
Syx1A
dnr1
aph-1
Gycalpha99B
CG8578
dap
Pc
CG32055
CG5096
crol
Nca
Dgk
Fur2
Spn42Dd
CG3638
htk
Oseg6
srl
side
magu
Abd-B
Clamp
Orct
BicC
Clamp
Plc21C
CG3609
fz2
Antp
Cyp18a1
Pcl
sowah
CG32369
Su(Tpl)
RagC-D
CG31638
Start1
gro
fw
ERR
GstT3
CG10472
GstS1
Gdap2
Epac
Esyt2
Sulf1
shn
CG30273
DCAF12
dnc
PIG-G
Ten-m
Mitf
