Fly
cmpy
LamC
HtrA2
cib
alphaTub84D
wupA
emc
miple2
daw
CG10038
Spn42Da
RpS25
stai
MAGE
CG13748
shot
Argk1
CG6770
E5
alphaTub84D
CycD
ND-15
sn
Fs
CG13551
CG11374
l(2)efl
CG3793
E(spl)mbeta-HLH
CG31937
Sox14
CG5639
Cpr72Eb
SPARC
MtnA
caup
Pka-R2
betaTub56D
CG12111
Nrg
CG10038
CG1764
Tsp29Fb
emc
KaiR1D
Hey
