Fly
LpR1
sas
Clamp
Tis11
Sulf1
slo
Start1
Mp
Itpr
RpS26
SPARC
fz2
Debcl
glob1
Ubi-p63E
fw
S6k
drn
RhoBTB
Utx
Mp
oaf
sotv
Ndg
Mp
Fdx2
CG9095
prc
Papss
LanA
CG31869
CG7407
Glut4EF
robo1
ptc
superdeath
Mmp2
CadN2
Agps
Mp
Vmat
Vinc
CG14711
CG11825
MSBP
Cubn
twi
CG34263
Desat2
GstS1
boi
Prps
CG5916
lectin-22C
sdk
HtrA2
CG6867
Jra
Mp
Hmgs
Ldh
Cyp12a4
CG34370
Hmgcr
al
teq
Mp
Tret1-2
Ac76E
robo1
Pxn
Glut1
cv-c
LanB1
Sp1
CG34325
slbo
RhoBTB
disco-r
wls
snama
lectin-37Db
CdGAPr
FoxL1
CG31637
Mp
Gclm
SLO2
Scr
shf
smash
CG1632
Pgant6
Cyp312a1
Cyt-b5
salr
Nep3
ihog
Hasp
stx
Ndg
Ak1
CG30273
svp
RhoGEF3
CG13743
side-III
RhoGEF3
Fur2
KLHL18
Setx
Pvr
CG32280
exd
Xe7
Hr38
ChLD3
trr
luna
Nca
Eato
frac
Lgr1
Lgr4
kay
CG4210
Ilp3
chico
CG11374
mfas
Xxylt
Npc1a
Ac3
Frmd5
wb
msn
CG7560
His2A:CG33832
Cubn2
mfrn
Jon74E
CG2120
slif
wun
trbl
eEF2
CG9550
Ilp4
mats
CG11034
CG33521
LanB1
CG9436
CG3224
AdamTS-B
Nse4
Smr
maf-S
B4
frac
Hey
xmas
eIF3m
CG42713
Arf6
SP2353
CG8343
Cdk4
PIG-G
Pp2B-14D
aux
XNP
Pez
Ser
DZIP1
sob
CG1998
LanA
l(2)efl
Ccn
cher
UBL3
CG42741
CG10445
GLS
Tsp26A
Tob
CG10011
Mp
Naprt
Pld
Gpat4
CG4025
CycT
Dhit
Hsp68
CG6959
Spred
loh
Zir
oys
mew
Hr38
mesh
Lrp4
CG7194
PMCA
Tob
NTPase
hoe2
Eip74EF
SCAP
Ddr
bi
LpR1
CG6675
Sfxn1-3
CG8405
Start1
cv-c
htl
AcCoAS
Idi
Rim2
Mp
per
CG5902
LanB2
Pp1-87B
siz
Osbp
trbd
Tob
RhoGAPp190
CG32687
Sap-r
eIF4E4
AdamTS-B
CG5986
gro
sif
modSP
Mvd
Blimp-1
cg
FASN2
GstS1
Nlg3
mesh
Fkbp14
atl
pnt
Septin1
CG42542
Col4a1
koi
Plc21C
CG2790
Stt3B
Prosbeta2R1
gro
CG43707
e(y)3
olf186-M
Stat92E
Fit2
Mlf
Clamp
Sec63
ken
HLH54F
Acn
ine
Eb1
U2af38
LamC
esn
CG44838
CG33298
Mpcp2
rgn
Fas3
ci
esg
Grx1
Zasp52
form3
Nopp140
Remo
mib1
NfI
heph
COX7A
otk
luna
Usp8
Rnf11
CG31823
bun
