Weeks,Genotype,Phenotype,LysoFas3CtrlvsExpbyPheno,n,N
6,Ctrl,Yes,0.1667,6,1
6,Ctrl,No,0.5000,4,1
6,Exp,Yes,1.0000,1,1
6,Exp,No,0.5000,6,1
6,Ctrl,Yes,0.3846,13,2
6,Ctrl,No,0.6250,8,2
6,Exp,Yes,0.1429,21,2
6,Exp,No,0.3158,19,2
6,Ctrl,Yes,0.3333,9,3
6,Ctrl,No,0.5455,11,3
6,Exp,Yes,0.2308,13,3
6,Exp,No,0.3333,24,3
