"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CG13690",0.0418827825424863,0.412660386487038,0.013,0.006,1
"CG7214",0.0418827825424863,0.996946363000828,0.013,0.006,1
"Cp190",0.0419097339313265,-0.107468195821115,0.275,0.227,1
"Lap1",0.042055706624,0.10579161115188,0.059,0.041,1
"Hacd2",0.0422952536422212,-0.228202943311922,0.082,0.06,1
"CG32850",0.0423894988649031,-0.196867272243506,0.302,0.248,1
"osa",0.042787490036533,-0.133742416605002,0.721,0.695,1
"CG9911",0.0430852418847775,-0.129165775514022,0.236,0.192,1
"CG4593",0.0432979254445724,-0.16511602192082,0.155,0.121,1
"CG9467",0.0434139776968501,-0.212231496564501,0.163,0.128,1
"Nxf3",0.043445873009033,-0.282534898675377,0.163,0.129,1
"jub",0.0435748685579334,0.226768655897025,0.1,0.077,1
"Dis3l2",0.0435980972287692,-0.290168811398567,0.172,0.136,1
"CG11686",0.043870185522677,0.117537309073941,0.558,0.491,1
"CRMP",0.043996056654285,0.188653820673541,0.1,0.076,1
"sbm",0.0441103518471187,0.334204902813955,0.084,0.063,1
"CG44245",0.0442255477758685,0.105663800377379,0.168,0.136,1
"CG8301",0.0442530623300924,0.26259729880827,0.046,0.031,1
"Ent1",0.0442783463638719,0.102464975583799,0.192,0.158,1
"CG33993",0.044446273230156,-1.01982142495471,0.018,0.031,1
"sub",0.0444614166421462,-0.244509819125923,0.044,0.029,1
"CG7747",0.044609531745869,0.142488218012637,0.08,0.059,1
"Psi",0.0447306818916191,-0.136517101747698,0.347,0.289,1
"CG10347",0.0447553734351319,0.129702080083753,0.069,0.049,1
"CG4679",0.0451543086978204,-0.314207569234432,0.066,0.047,1
"sax",0.0452815896920387,0.182643150584583,0.123,0.097,1
"Gs1l",0.0454203951234858,-0.177707309794229,0.201,0.16,1
"TyrRS-m",0.0455675660167161,-0.129341105431927,0.057,0.039,1
"Ufm1",0.0455971067647838,-0.156774064763224,0.312,0.255,1
"CG12659",0.0457254237258513,0.104700914267718,0.044,0.029,1
"HPS4",0.045759867187882,0.237299018085995,0.05,0.034,1
"Samtor",0.0459057978540255,0.216534464732425,0.046,0.031,1
"CG8712",0.0459147114821376,-0.994417067731191,0.017,0.029,1
"CG7504",0.0460101359620641,0.104004370808466,0.139,0.111,1
"CG8490",0.0460703262871622,0.30460905558691,0.085,0.064,1
"CG2685",0.0460859525559848,-0.146755509451185,0.103,0.078,1
"CG14722",0.0461102213142786,-0.127291387767644,0.149,0.118,1
"CG4101",0.0461831178699213,0.360867900969551,0.095,0.073,1
"Stat92E",0.0463063925046696,0.137061307581022,0.75,0.665,1
"Agpat2",0.0466822756806923,-0.108940671590219,0.024,0.014,1
"ncm",0.0467143923493924,-0.145183195798638,0.331,0.274,1
"cmb",0.046828313497421,0.367198809270952,0.049,0.033,1
"Oamb",0.0469608755447234,0.144425805205595,0.188,0.153,1
"CG13218",0.0470672489897217,0.76381203651397,0.025,0.014,1
"CG7627",0.0471039697922474,-0.130536562663147,0.143,0.113,1
