Gene,avg_log2FC,p_val_adj
BoYb,0.619858333834266,2.17940117757457e-8
AttD,-2.19318701270871,2.47986985264714e-8
lectin-37Da,-1.2140425754267,2.5084922524232e-8
CG34043,-2.51829963861512,2.93179094183368e-8
CG6337,-3.26506294092845,3.09193663374324e-8
l(2)efl,0.910409165265272,3.10799532889221e-8
CG18748,-1.41649307820277,4.04511635802024e-8
Spag1,1.0648547878268,5.52025625113636e-8
CG34236,-1.22376800716212,8.14978397032009e-8
CG6409,-1.29661488590679,9.24064458202029e-8
Acbp3,-2.8341494854343,1.03353862494928e-7
CG18745,-0.794044748386638,1.22026241719021e-7
CG4301,-0.976910007604658,1.29901044135358e-7
Yp3,-2.16606662791638,1.63612947906821e-7
Cyp4e2,0.528787635893017,1.72111676824956e-7
cad,-0.794363911915128,1.86686750204322e-7
gukh,-0.594193669669195,1.92973224941699e-7
CG31313,0.603130248960136,2.46371046378811e-7
Cln3,-1.17824888183401,2.71424775351271e-7
CG17839,-0.59166309656201,2.73580821634492e-7
CG45060,-0.655840596417732,3.03351605339323e-7
Tig,1.56093440997596,3.7294916717688e-7
CG10970,0.795141156817489,3.77724591132709e-7
CG5819,-0.897405696299782,4.08019649560012e-7
Sox21a,-0.9492546647622,6.95555209679375e-7
CG32026,0.817145770948015,7.37221865651102e-7
Tsp29Fb,-0.954178893025996,7.53592546628327e-7
CG5071,0.644541247577147,9.22451626873919e-7
CG42402,0.619231939761395,2.28875516406242e-6
Act87E,0.841038743633867,2.29025870294972e-6
Tsp2A,-0.866129332089811,2.4778607182932e-6
CG5160,0.716030489063566,2.70519769551653e-6
mmd,-1.18716457507041,2.81853871783749e-6
Npc2e,-1.61673451281975,2.92558292838322e-6
eys,1.54227797130316,3.00363436506484e-6
Vm26Ac,-2.82113769444354,3.38648932911033e-6
Lrp4,0.876093189936371,3.3876783976987e-6
CG9380,-0.875001108786754,4.64470997144828e-6
atilla,0.827123427505784,4.78911876195188e-6
CG8568,0.653505479011633,5.21480153764858e-6
Cyp9b2,-1.10253463314154,6.1231572555383e-6
CG13102,-1.25594835202829,6.36311351777282e-6
CG12655,0.828941220232606,7.8172059650153e-6
fiz,-0.706835989780765,8.28271794961767e-6
Pgant2,0.653910328649341,1.11246957259588e-5
Tsp42Eq,-1.07125961284583,1.17944213383631e-5
Cp16,-4.26559644433267,1.35394074013255e-5
GATAe,-0.853304660728712,1.38279888389652e-5
CG18480,-0.679888984844975,1.60711638814334e-5
Takl1,-1.59830955384942,1.87369584610477e-5
CG9673,-2.32021921773926,2.03296417559296e-5
CG31248,-1.34083015019066,3.50906256209599e-5
fa2h,-1.43850191042237,4.1697757108863e-5
CG43187,-1.62639243711701,4.54771099815459e-5
Whamy,-0.906262493522287,4.75451255199695e-5
CG12824,-0.78653889214947,4.92356913930088e-5
Tsp42Er,-1.08285757966511,5.55176336813094e-5
Nep1,-0.919123991941023,5.64824674522346e-5
CG9119,-1.50936365481684,5.74031431634624e-5
CG10116,-1.70569279541363,6.74653166684476e-5
CNT2,-1.26632325960805,7.7227149053106e-5
dmGlut,-1.08178136860712,8.06573246566588e-5
Nepl21,0.543606079950032,8.93504938428363e-5
CG43064,-0.777355479764117,1.1484017681149e-4
CG14109,1.06498520234669,1.1942361672298e-4
CG32107,-0.789477670665793,1.2870075975557e-4
CG7730,1.23284498561918,1.3206209804088e-4
CG12825,-0.955431548734494,1.5953987033058e-4
CG43740,-0.870730053494376,1.7698059704438e-4
CG42235,-1.75529476528077,2.0658850978164e-4
CG42231,0.849484103048671,2.1801849681336e-4
GstE9,0.687088785808776,2.4484255557097e-4
CG9084,-1.10521074296582,2.4939690228214e-4
CG7470,-1.29793376406024,2.975007934803e-4
CG30090,-1.32535546198255,3.096221093299e-4
ndl,-0.53289885548836,3.574709051193e-4
Sox100B,-0.907828234095095,4.2127213920581e-4
Proc,2.46381310684881,4.325126728387e-4
mnd,-0.606926526114534,4.4354644660889e-4
CG33514,-1.67647908997342,4.6686548258527e-4
sage,0.547255658645092,5.3197519664789e-4
nAChRalpha6,-1.13718313796969,6.3931559445623e-4
Cyp313a4,1.04485916997187,7.1130592054063e-4
CG10943,-1.30579801922151,7.1396781600521e-4
lectin-37Db,-1.18425125311007,7.2675284304509e-4
DIP-lambda,-0.736951739633679,7.3990975581701e-4
Mal-A2,-2.00386521137084,7.8992945297228e-4
CG5246,0.90051624911224,8.7835032937627e-4
CG14544,-0.733348921167947,0.00100551640437461
Cyp12d1-p,0.695326515804206,0.00103642975551919
CG5973,-0.578195184019298,0.00106194000127531
Ndae1,-0.88482755824737,0.00137441830286938
CG32115,-0.716903625759786,0.00139355536712409
CG1246,-0.980097905227237,0.00147102179745469
Iris,-0.622018201371595,0.0016613009418712
lin-28,-1.15684291807195,0.00169359747688031
CG10936,-1.06222085090936,0.00173990928425839
CG44008,-1.46714899612442,0.00182709732563158
Mlc2,0.64358955912306,0.00192001206035678
dec-1,-1.11351210915868,0.0027459845501814
CG6023,0.57241089146653,0.00302117992543216
CG8952,-0.957975845947852,0.00303334544108762
CG10086,-0.653838389467617,0.00312413215938481
CG13324,-1.14796610454243,0.00325598889869058
CG13086,-0.993099656198845,0.00336137459265683
CG9981,-1.25153522965921,0.00344820998268967
Pvf3,0.62008212641308,0.00358505956537517
Phae1,-1.13484729589636,0.00396708279272456
CG2930,-1.54847673231199,0.0041093514355586
CG17855,-0.65811288862461,0.00558240306268598
Gbeta5,0.638390952974194,0.00615964211212471
CG13482,-0.792899673915861,0.00637646824770383
sens-2,-1.28548476620633,0.00644684189854023
CG9813,0.738509569738623,0.00658410654586884
CG15152,-0.847750395811802,0.0077607814570458
CG31288,-1.32907767560948,0.00830529840151821
CG30411,-1.44677569833675,0.00975467688821714
CG11319,0.538127610384292,0.0101049343579972
CG15406,-1.57299624920412,0.0104457508970229
Zip71B,-1.6212297190741,0.010460983381235101
CG32024,-0.918972810527047,0.0110943526951224
dsb,-1.41319931205934,0.0115004223317095
CG42825,-0.826043195905594,0.0128775334642881
CG13282,0.739495978821186,0.0136247866096883
Cyp4aa1,0.805472299100593,0.0141541634300844
Kua,-1.36064022883953,0.014542679611201
CG18635,-1.12908877030128,0.0148815803480332
CG3604,-1.54368297687679,0.0153227282428924
CG13905,-0.703616675624865,0.0169261625485049
mex1,-1.35534107099389,0.0172224998795793
AhcyL2,-1.01877924010183,0.0176798819194362
pip,-1.18001444159233,0.0180460233056488
CG45066,0.772728886821399,0.020713825320187
CG10184,-0.761502695162821,0.021042933951066
CG4587,1.00524371540713,0.0211591592979758
Damm,-0.806526215761481,0.0281501094515441
Ank2,0.978887780842721,0.0289010030825417
t,-1.02600986503613,0.0294521823329775
ItgaPS4,0.554725840480748,0.0320811677134899
CG12974,-0.924694027936772,0.0324835087783789
CG5928,-1.24077535138254,0.0337645529804135
CG32054,-1.16845174094871,0.033935517800732
GstE10,-0.95294070324714,0.0427394887463884
